Date,Day,Expiry.Day,Strike.Time,Target,CE.Strike,CE.Open,CE.Entry,Entry.Flag,Entry.Time,CE.High,CE.Low,CE.Exit,CE.SL.Flag,CE.SL.Time,CE.PNL,PE.Strike,PE.Open,PE.Entry,PE.Entry.Flag,PE.Entry.Time,PE.High,PE.Low,PE.Exit,PE.SL.Flag,PE.SL.Time,PE.PNL,Total PNL
2024-01-04,Thursday,FALSE,09:32:00,280.0,71600CE,323.8,291.42,True,2024-01-04 09:52:00,426.9,286.65,424.9,True,2024-01-04 10:18:00,-61.93,71900PE,321.0,288.90000000000003,True,2024-01-04 10:04:00,309.6,105.95,107.0,False,,178.29,116.35999999999999
2024-01-11,Thursday,FALSE,09:32:00,280.0,71800CE,317.2,285.48,True,2024-01-11 09:42:00,317.9,110.85,177.0,False,,104.91,72100PE,342.0,307.8,False,,,,,,,0.0,104.91
2024-01-18,Thursday,FALSE,09:32:00,280.0,71200CE,293.4,264.06,True,2024-01-18 09:36:00,488.8,144.4,324.75,True,2024-01-18 10:09:00,-56.11,70800PE,274.85,247.36500000000004,True,2024-01-18 10:09:00,372.6,55.95,90.5,True,2024-01-18 10:11:00,-52.57,-108.68
2024-01-24,Wednesday,FALSE,09:32:00,280.0,70600CE,322.9,290.61,True,2024-01-24 09:34:00,728.8,189.8,688.1,True,2024-01-24 09:40:00,-61.75,70300PE,308.35,277.51500000000004,True,2024-01-24 09:40:00,354.05,40.45,50.4,True,2024-01-24 12:28:00,-58.97,-120.72
2024-02-01,Thursday,FALSE,09:32:00,280.0,72400CE,298.55,268.695,True,2024-02-01 09:36:00,414.75,44.1,46.9,True,2024-02-01 10:08:00,-57.1,71200PE,307.95,277.155,True,2024-02-01 09:40:00,280.0,54.0,95.1,False,,178.59,121.49000000000001
2024-02-08,Thursday,FALSE,09:32:00,280.0,72600CE,294.1,264.69000000000005,True,2024-02-08 09:46:00,309.9,17.5,26.35,False,,235.03,72200PE,293.6,264.24,False,,,,,,,0.0,235.03
2024-02-15,Thursday,FALSE,09:32:00,280.0,72100CE,302.25,272.02500000000003,True,2024-02-15 09:34:00,375.0,182.05,328.95,True,2024-02-15 10:16:00,-57.81,71800PE,319.45,287.505,True,2024-02-15 09:48:00,452.4,130.5,133.0,True,2024-02-15 09:54:00,-61.09,-118.9
2024-02-22,Thursday,FALSE,09:32:00,280.0,72600CE,306.55,275.89500000000004,True,2024-02-22 09:34:00,725.4,143.0,723.0,True,2024-02-22 09:42:00,-58.63,72300PE,297.35,267.615,True,2024-02-22 09:41:00,472.15,26.15,26.75,True,2024-02-22 09:59:00,-56.87,-115.5
2024-02-29,Thursday,FALSE,09:32:00,280.0,72600CE,313.25,281.925,True,2024-02-29 09:41:00,430.0,175.2,308.75,True,2024-02-29 09:54:00,-59.91,72200PE,296.8,267.12,True,2024-02-29 09:33:00,422.2,101.3,102.6,True,2024-02-29 09:38:00,-56.76,-116.66999999999999
2024-03-06,Wednesday,FALSE,09:32:00,280.0,73600CE,285.0,256.5,True,2024-03-06 09:34:00,725.45,194.9,671.3,True,2024-03-06 09:41:00,-54.51,73500PE,277.85,250.06500000000003,True,2024-03-06 09:41:00,390.75,51.9,57.1,True,2024-03-06 09:59:00,-53.14,-107.65
